index,series_name,network,season,title,imdb,engagement,date_aired,run_time,format,monster_name,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va,monster_gender,monster_gender2,monster_gender3,monster_gender4,monster_gender5,monster_gender6,monster_gender7,monster_gender8,monster_gender9,monster_gender10,monster_gender11,monster_gender12,monster_gender13,monster_gender14,monster_gender15,monster_gender16,monster_gender17,monster_gender18,monster_gender19,monster_type,monster_type2,monster_type3,monster_type4,monster_type5,monster_type6,monster_type7,monster_type8,monster_type9,monster_type10,monster_type11,monster_type12,monster_type13,monster_type14,monster_type15,monster_type16,monster_type17,monster_type18,monster_type19
380,What's New Scooby-Doo?,The WB,3,Wrestle Maniacs,7.4,90.0,12/02/2005,21,TV Series,Titanic Twist,Deformed,Human,False,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,Desert,United States,9,False,False,"Curt Crunch,Connie Crunch","Male,Female",2,Competition,,,False,0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Undead,,,,,,,,,,,,,,,,,,
381,What's New Scooby-Doo?,The WB,3,Ready to Scare,7.5,89.0,19/02/2005,21,TV Series,Gargoyle,Statue,Gargoyle,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Urban,France,4,True,False,"Danica LeBlake,Guy L'Avorton","Female,Male",2,Competition,,,True,0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Possessed Object,,,,,,,,,,,,,,,,,,
382,What's New Scooby-Doo?,The WB,3,Farmed & Dangerous,7.3,101.0,25/02/2005,21,TV Series,Demon Farmer,Farmer,Human,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,Rural,United States,4,False,True,Neville Poppenbacher,Male,1,Competition,,,False,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Undead,,,,,,,,,,,,,,,,,,
383,What's New Scooby-Doo?,The WB,3,Diamonds Are a Ghoul's Best Friend,7.0,96.0,03/03/2005,21,TV Series,Frozen Fiend,Ice,Human,False,1,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Urban,Russia,6,False,True,Galina Korzhakov,Female,1,Theft,you meddling foreign kids,,False,several,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Undead,,,,,,,,,,,,,,,,,,
384,What's New Scooby-Doo?,The WB,3,A Terrifying Round with a Menacing Metallic Clown,7.6,105.0,12/03/2005,21,TV Series,Menacing Metallic Clown,Clown,Human,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,Rural,United States,4,False,False,Mayor Smith Snipper,Male,1,Competition,,,False,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Mechanical,,,,,,,,,,,,,,,,,,
385,What's New Scooby-Doo?,The WB,3,Camp Comeoniwannascareya,7.5,100.0,19/03/2005,21,TV Series,Toxic Terror,Humanoid,Toxic,False,1,,,,True,True,,,,False,False,,,,False,False,,,,False,False,True,False,False,False,Forest,United States,6,False,False,Grey,Female,1,Preservation,those meddling kids in your cabin,,False,,,,,,,,,3.0,0.0,0.0,1.0,False,False,False,False,False,,,,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Possessed Object,,,,,,,,,,,,,,,,,,
386,What's New Scooby-Doo?,The WB,3,Block-Long Hong Kong Terror,7.4,88.0,26/03/2005,21,TV Series,Dragon,Dragon,Dragon,False,1,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,Urban,Hong Kong,5,False,True,Wu,Male,1,Competition,,,False,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Mythical,,,,,,,,,,,,,,,,,,
387,What's New Scooby-Doo?,The WB,3,"Gentlemen, Start Your Monsters!",7.3,87.0,02/04/2005,21,TV Series,Skeleton Driver,Skeleton,Human,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,Urban,United States,5,False,True,"Jimmy,Cindy","Male,Female",2,Competition,you meddling grown-ups,,False,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Undead,,,,,,,,,,,,,,,,,,
388,What's New Scooby-Doo?,The WB,3,Gold Paw,7.4,84.0,09/04/2005,21,TV Series,Gold Monster,Humanoid,Gold,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,Rural,Kentukey,5,False,True,Drill Sergeant Payne,Male,1,Competition,you meddling civilians,,False,1 box,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,,,,,,,,,,,,,,,,,,,Possessed Object,,,,,,,,,,,,,,,,,,
389,What's New Scooby-Doo?,The WB,3,Reef Grief!,7.5,92.0,19/04/2005,21,TV Series,"Coral Creature,Sand Monsters","Humanoid,Sand","Coral,Human",True,2,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,Coast,Australia,5,False,True,Spencer Johnson,Male,1,Competition,you meddling sand-drips,,False,8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Casey Kasem,Frank Welker,Male,Male,,,,,,,,,,,,,,,,,,Plant,Possessed Object,,,,,,,,,,,,,,,,,
